blood_bank_name,state,district,city,address,mobile,category,latitude,longitude
Govind Ballabh (G.B.) Pant Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"1, Jawahar Lal Nehru Marg, Delhi Gate",9718599012,Government,28.639542,77.235159
"Regional Blood Tranfusion Center Blood bank, Central Zone",Delhi,CENTRAL DELHI,New Delhi,"2 Jawarlal Nehru Marg, Delhi Gate, Near UBPH",8800950606,Government,28.638986,77.23836
Kasturba Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"Near Jama Masjid, Daryaganj",9868142141,Government,28.648838,77.238017
Sir Ganga Ram Hospital Blood Bank,Delhi,CENTRAL DELHI,New Delhi,"Old Rajindra Nagar, Near Janki Devi College",9876543210,Private,28.638675,77.189489
Lal Bahadur Shastri Hospital Blood Bank,Delhi,EAST DELHI,Delhi,"Near Kalyanvas Colony / Mayur Vihar Phase -II, GNCTD Kichdipur",9582500318,Government,28.617839,77.311452
Max Super Specialty Hospital Blood Bank,Delhi,EAST DELHI,Delhi,"Max Balaji Hospital (A unit of Balaji Medical and Diagnostic Research Centre), 108-A, Indraprastha Extension, Opposite Sanchar Apartment, Patparganj",9911866565,Private,28.633501,77.308836
Dr. Hedgewar Arogaya Sansthan Blood bank,Delhi,EAST DELHI,Delhi,"F-18, Karkardooma",9811100306,Government,28.655875,77.293489
Lions Blood Bank East Delhi,Delhi,EAST DELHI,Delhi,"369, II Floor, FIE, Near M.C.D. Office, Patparganj Industrial AreaNear Punjab National Bank",0971789750,Charity,28.641094,77.309423
Dharamshila Cancer Foundation and Research Centre Blood Bank,Delhi,EAST DELHI,New Delhi,"4th floor, Vasundhara Enclave, Near New Ashok Nagar Metro Station",9717567779,Private,28.602512,77.314182
Northern Railway Central Hospital Blood Bank,Delhi,NEW DELHI,New Delhi,"Basant Lane, Connaught Place",9717630541,Government,28.636518,77.217459
Pushpawati Singhania Research Institute Blood bank,Delhi,NEW DELHI,New Delhi,"Press Enclave Marg, Sheikh Sarai, Phase-II",8375968248,Private,28.533218,77.225185
"Cardio Neuro Centre Blood Bank, AIIMS",Delhi,NEW DELHI,New Delhi,"AIIMS, Ansari Nagar",9868398196,Government,28.566539,77.20984
Hindu Rao Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,"G Block 4th floor, Near Civil Lines Malkaganj",9876543210,Government,28.67538,77.212312
St. Stephen39s Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,"Tis Hazari, Opposite to Tis Hazari Metro Station",9868399207,Private,28.665135,77.214542
Sant Pramanand Hospital Blood Bank,Delhi,NORTH DELHI,Delhi,"18, Sham Nath Marg, Civil lines,",9818582204,Charity,28.677715,77.224099
Swami Dayanand Hospital Blood Bank,Delhi,NORTH EAST DELHI,Delhi,Dilshad Garden,8506019595,Government,28.678471,77.304087
Mission Jan Jagriti Blood Bank,Delhi,NORTH EAST DELHI,Delhi,"MGS Hospital, 35/37 Rohtak road, West Punjabi BaghAdjacent to Maharaja Aggarsen Hospital, Near Shivali park metro station",9811210662,Charity,28.606008,77.295437
Central Poly Clinic Blood Bank,Delhi,NORTH EAST DELHI,New Delhi,"3, Gangan Vihar, Shahdara Road",9811157559,Private,28.645742,77.292552
Sushruta Trauma Centre Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Civil Lines, 9, Metcalf Road",9868399328,Government,28.680339,77.227674
Sanjay Gandhi Memorial Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"S-Block, Mangolpuri",8447734495,Government,28.692792,77.081656
Sunder Lal Jain Charitable Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Ashok Vihar, Phase-III",9873439803,Private,28.691886,77.181583
Max Super Specialty Hospital Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd), FC-50, Block C and D, Shalimar Bagh",9810994195,Private,28.727954,77.152927
Lions Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"A.K.-100, Shalimar Bagh",0971789750,Charity,28.704148,77.162213
Mission Jan Jagriti Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"1, Altius Sonia Hospital, Basement, 1, Gulshan Park, Rohtak Road, Nangloi Metro Station, Metro Piller Number 444",0851088892,Private,28.501683,77.246745
Saroj Super Speciality Hospital  Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Saroj Super Speciality Hospital (Run by Ganesh Das Chowla Charitable Trust-Regd.), Sector-14, Rohini, Madhuban Chowk",9818442406,Private,28.70612,77.129045
Rajiv Gandhi Cancer Institute and Research Center Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Rajiv Gandhi Cancer Institute, Sector-V Rohini",0959958715,Private,28.716471,77.11093
Dr. Baba Sahab Ambedkar Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"Sector-6, Rohini",9718599615,Government,28.715052,77.113639
Delhi Heart and Lung Institute Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"3 MM-11, Panchkuian Road",9999909508,Private,28.641636,77.205219
Park Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"Keshopur Sabzi Mandi, New Chaukhandi, Vishnu Garden",7503141442,Private,28.651772,77.093105
Fortis Hospital Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"A-Block, Shalimar Bagh",0989123917,Private,28.709162,77.170214
Pitampura Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"B-294, Saraswati Vihar, Outer Ring Road, Pitampura",0813099939,Private,28.700002,77.125443
Brahm Shakti Hospital and Research Centre Blood Bank,Delhi,NORTH WEST DELHI,New Delhi,"Brahma Shakti Hospital, U-1/78, Budh Vihar",9868535861,Private,28.712343,77.081205
Guru Tegh Bahadur Hospital Blood Bank,Delhi,SHAHDARA,Delhi,"G. T. B. Hospital, Shahdara",9876543210,Government,28.683856,77.309903
Holy Family Hospital Blood Bank,Delhi,SOUTH DELHI,Delhi,"Holy Family Hospital, Okhla Road",9716832373,Private,28.563012,77.275829
Batra Hospital and Medical Research Centre Blood Bank,Delhi,SOUTH DELHI,Delhi,"1, Tuglakabad Institutional Area, Mehrauli Badarpur Road, Tughlakabad",9876543210,Private,28.513468,77.245773
All India Institute of Medical Sciences (AIIMS) Blood Bank,Delhi,SOUTH DELHI,New Delhi,"AIIMS, Main Blood Bank, Ansari Nagar, Ring Road",9876543210,Government,28.567152,77.20902
Safdarjung Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Safdarjung Hospital, Ansari Nagar, Ring Road",9876543210,Government,28.568016,77.205765
Shri Moolchand Khariti-Ram Hospital and Ayurvedic Research Institute,Delhi,SOUTH DELHI,New Delhi,"Mool Chand Hospital, Lajpat Nagar-III",8588955190,Private,28.566225,77.235575
National Heart Institute Blood Bank,Delhi,SOUTH DELHI,New Delhi,"49, Community Center, East of Kailash",9650186253,Private,28.5574087,77.2457177
Max Super Specialty Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Max Super Specialty Hospital, Heart and Vascular Institute (A Unit of Devki Devi Foundation Institute), 2, Press Enclave Road, Saket",9873081647,Private,28.527512,77.213547
Saket City Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Mandir Marg, Press Enclave Road, Saket",9899673262,Private,28.527686,77.214348
Rockland Hospital Qutab Blood Bank,Delhi,SOUTH DELHI,New Delhi,"B, 33-34, Qutab Institutional Area",9958415656,Private,28.53736,77.181113
Primus Ortho and Spine Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Primus Super Speciality Hospital,02, Chandragupta Marg, Lower Ground Floor, Chanakyapuri",9876543210,Private,28.5929,77.181273
White Cross Blood Bank,Delhi,SOUTH DELHI,New Delhi,"A-60, East of Kailash",9810304201,Private,28.560675,77.253601
Rotary Blood Bank,Delhi,SOUTH DELHI,New Delhi,"56-57, Institutional Area, Tughlakabad , Next to Batra Hospital",9868034748,Private,28.513434,77.24269
Jai Prakash Narayan Apex Trauma Centre Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Jai Prakash Narayen Apex Trauma Centre, AIIMS, Raj Nagar,Ring Road",9868397275,Private,28.568128,77.200338
Fortis Escort Heart Institute Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Fortis Escort Heart Institute, Okhla Road",9873411881,Private,28.560455,77.273777
Hakeem Abdul Hameed Centenary Hospital Blood Bank,Delhi,SOUTH EAST DELHI,New Delhi,"Jamia Hamdard, Hamdard Nagar",9350621681,Private,28.513711,77.251861
Apollo Hospital Blood Bank,Delhi,SOUTH EAST DELHI,New Delhi,"Indraprastha Medical Corporation, Sarita Vihar",9876543210,Private,28.540647,77.283445
Armed Forces Transfusion Centre Blood Bank,Delhi,SOUTH WEST DELHI,Delhi,"Delhi Cantonment, Area Sadar Bazar, Army Public School",9876543210,Government,28.596425,77.117561
Fortis Flt. Lt. Rajan Dhall Hospital Blood Bank,Delhi,SOUTH WEST DELHI,Delhi,"Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.), Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj",9811419822,Private,28.519397,77.160438
Institute of Liver and Biliary Sciences Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Institute of Liver and Biliary Sciences, D-1, Vasant Kunj",9540946817,Charity,28.506259,77.165051
Mata Chanan Devi Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Mata Chanan Devi Hospital, C-1 Janakpuri New Delhi",9971802973,Private,28.618861,77.078382
Bhagat Chandra Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"RZF-1/1, Mahavir  Enclave, Palam",9876543210,Private,28.593451,77.081221
Indian Spinal Injuries Centre Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Indian Spinal Injuries Centre, C-8, Vasant Kunj",9971975275,Private,28.532663,77.141765
Bensups Hospital Blood Bank,Delhi,SOUTH WEST DELHI,New Delhi,"Bansups Avenue, Sector 12, Dwarka",9999138158,Private,28.592838,77.044191
Blood Bank Organisation,Delhi,WEST DELHI,Delhi,"11/6-B, Shanti Chamber, Opposite Telephone Exchange, Pusa Road",9350584812,Private,28.642777,77.18156
E. S. I. Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"E S I Hospital, Basai  Darapur, Ring Road",9811073500,Government,28.657697,77.13012
Maharaja Agrasen Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"Maharaja Agrasen Hospital, West Punjabi Bagh",9910426353,Private,28.67408,77.134063
Sri Balaji Action Medical Institute Blood Bank,Delhi,WEST DELHI,New Delhi,"Sri Balaji Action Medical Institute, FC-34, A-4, Paschim Vihar",9876543210,Private,28.673738,77.110226
Dr. B. L. Kapoor Memorial Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"B. L. K. Memorial Hospital,  Pusa Road",9958436222,Private,28.643642,77.179979
Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC) Blood Bank,Delhi,WEST DELHI,New Delhi,"Kalra Hospital SRNCNC, A-4, Kirti Nagar",9871699688,Private,28.657823,77.142691
"R.B.T.C (wz), Deen Dayal Upadhyay Hospital",Delhi,WEST DELHI,New Delhi,"Deen Dayal Upadhyay Hospital, Hari Nagar, Near Clock Tower",9718990241,Government,28.583437,77.117583
Jaipur Golden Hospital Blood Bank,Delhi,WEST DELHI,New Delhi,"Jaipur Golden Hospital, 2, Industrial Area,  Rohini, Sector-III",9968340243,Private,28.697734,77.109478
Jan Jagriti Blood Bank,Delhi,WEST DELHI,New Delhi,"Mission Jan Jagriti, Blood Bank, C/o. Jeevan Anmol Hospital Mayur Vihar Phase I",0981121066,Private,28.605975,77.295427
District Hospital Blood Bank,Goa,NORTH GOA,Mapusa,"District Hospital, Pedem, Mapusa, Goa",0750796535,Government,15.597585,73.820198
Goa Medical College Blood Bank,Goa,NORTH GOA,Panaji,"Goa Medical College, Bambolim, Tiswadi, Goa",0942264117,Government,15.463768,73.858813
Hospicio Hospital Blood Bank,Goa,SOUTH GOA,Margao,"Hospicio Hospital, Margao, Salcete, Goa",0985045657,Government,15.27947,73.960567
Apollo Victor Hospital Blood Bank,Goa,SOUTH GOA,Margao,"Apollo Victor Hospital, Malbhat, Margao",9876543210,Private,15.268835,73.965605
SMRC39s V. M. Salgaocar Hospital Blood Bank,Goa,SOUTH GOA,Vasco,"SMRC39s V.M.Salgaocar Hospital, Chicalim, off Airport Road, Vasco-da-Gama",9049843109,Private,15.395075,73.837127
V. S. Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"C/o. Sheth, Vadilal Sarabhai (V.S.) Hospital, Ellisbridge, Ahmedabad",0992514472,Government,23.020595,72.571659
Smt. Shardaben Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Smt. Laxmiben Chimanlal Lalbhai Blood Bank, C/o. The Superintendent, Smt. Shardaben Chimanlal Municipal General Hospital, Saraspur, Ahmedabad.",9662359429,Government,23.035285,72.617719
L. G. Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Sheth L.G. General Hospital and Blood Bank, Maninagar, Ahmedabad",9825445414,Government,22.999464,72.60458
Civil Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Department of IHBT, C/o.The Civil Hospital, Asarwa, Ahmedabad",9426516595,Government,23.051227,72.6055
General Hospital Blood Bank Sola,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Civil Hospital, Sarkhej Highway, Near Gujarat High Court,  Sola, Ahmedabad",9925594684,Government,23.082702,72.525858
Indian Red Cross Society Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Indian Red Cross Society, J. L. Thakore Red Cross Bhavan, 18-Gujarat Brahmkshatriya Society, Behind Suvidha Market,Paldi, Ahmedabad",9824040597,Charity,23.012718,72.55774
The Gujarat Cancer  Research Institute Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"The Gujarat Cancer  Research Institute, M.P. Shah Cancer Hospital, Civil Hospital Campus, Asarwa, Ahmedabad",9429617258,Government,23.039061,72.610263
Institute of Kidney Disease and Research Centre,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, The Institute of Kidney Disease and Research Centre, Civil Hospital Compound, Asarwa, Ahmedabad",0942732616,Government,23.051439,72.605577
Help Voluntary Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Help Voluntary Blood Bank (Green Cross Voluntary Blood Bank Pathology and RIA Laboratory) 6 and 7, Kotyark Complex, Opposite to L.G. Hospital, Maninagar, Ahmedabad",9876543210,Charity,23.000103,72.604863
GUJARAT CANCER MEDICAL COLLEGE,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Gujarat Cancer Society Medical College Hospital and Research Centre, Opp. D.R.M. office, Swadesi Mill compound,Near Chamunda Bridge, Ahmedabad",9824365588,Government,23.038706,72.610334
General Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Model Hospital Blood Bank, (ESIS), Blood Bank, Bapunagar, Ahmedabad",9876543210,Government,23.028114,72.623869
Dr. Jivraj Mehta  Smarak Health Foundation Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Dr. Jivraj Mehta  Smarak Health Foundation, Bakeri Medical Research Centre, Arogya Dham, Dr. Jivraj Mehta Marg, Ahmedabad.",0942860066,Charity,23.008319,72.543367
Prathama Blood Centre,Gujarat,AHMEDABAD,Ahmedabad,"Prathama Blood Centre, B/H Jivraj Mehta Hospital, Near Lavanya Society, Dr. C.V. Raman Marg, Vasna, Ahmedabad",9978950806,Charity,23.006225,72.541921
White Cross Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"White Cross Blood Bank (Vol.), 2nd Floor, Kandhari Building, Opposite to S.T. Workshop, Naroda Road Patia, Naroda , Ahmedabad",9876543210,Charity,23.06573,72.636791
Adarsh Pathology Laboratory and Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Adarsh Pathology Laboratory and Blood Bank, 1st Floor, Samjuba Hospital, Bapunagar, Ahmedabad",9825089741,Private,23.033177,72.628422
Gujarat Blood Bank Paldi,Gujarat,AHMEDABAD,Ahmedabad,"Gujarat Blood Bank (Voluntary), Pathology Laboratory, 101, Span Trade Centre, Opp. Kochrab Ashram, Near Paldi Char Rasta, Paldi, Ahmedabad",9876543210,Private,23.016405,72.566328
Karnavati Blood Bank and Pathology Lab,Gujarat,AHMEDABAD,Ahmedabad,"Karnavati Blood Bank and Pathology Lab, 36, Subhlaxmi Complex, Naranpura, Ahmedabad",9426088254,Private,23.057858,72.552974
Cross World Voluntary Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Cross World Voluntary Blood Bank, Chandraprabhu Complex,Sardar Patel Cross Road, Ahmedabad",0932701590,Private,23.056322,72.570237
Maha Gujarat Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Maha Gujarat Blood Bank (Voluntary) and Pathology Lab, 21, Parth  Comp., Near Maninagar Fire Station, Maninagar, Ahmedabad",0982530672,Private,22.997578,72.603054
Supratech Voluntary Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Supratech Voluntary Blood Bank, Mild Stone Building, 1st Floor, Near Drive-in Cinema, Thaltej, Ahmedabad",9825023700,Charity,23.067721,72.512046
Sterling Hospital,Gujarat,AHMEDABAD,Ahmedabad,"Blood Bank, Sterling Hospitals, Drive in Road, Near Gurukul, Memnagar Road, Ahmedabad",7940011918,Private,23.048798,72.531309
Ami Pathology Laboratory and Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Ami Pathology Laboratory and Blood Bank, 14-15 Baronet Tower (Complex), Tollnaka, Highway , Ramnagar, Sabarmati, Ahmedabad",9825698298,Private,23.08705,72.592226
Gujarat Blood Bank Naranpura,Gujarat,AHMEDABAD,Ahmedabad,"Gujarat Blood Bank (Voluntary) and Pathology Laboratory,  1-2, Subhlaxmi Complex, Naranpura, Ahmedabad",9978532743,Government,23.055467,72.560224
Indian Red Cross Society Blood Bank,Gujarat,AMRELI,Amreli,"Mahatma Muldas Red Cross Bhavan, Civil Hospital Campus",9978554009,Charity,21.606994,71.22186
Indian Red Cross Society Blood Bank,Gujarat,ANAND,Anand,"Blood Bank, Indian Red Cross Society, Sardar Bhavan, Opposite to Municipal Building, Sardar Ganj Road, Anand",9879235829,Private,22.554608,72.960402
Indu Voluntary Blood Bank,Gujarat,ANAND,Anand,"Indu Voluntary Blood Bank Managed by Charotar Health Research Foundation Trust, Jashganga Complex, Station Road, Anand",9375036524,Charity,22.596385,72.80717
Ghanshyam Pathlology Laboratory and Blood Bank,Gujarat,ANAND,Anand,"Ghanshyam Pathlology Laboratory and Blood Bank, Krishna Road,  B/h . Mayfair Hotel, Anand",9825025746,Private,22.556549,72.963992
Lions Club Khambat Blood Bank,Gujarat,ANAND,Kambhat,"Blood Bank, The Secretary, Lions Club (Society), Lions Medical Centre, Pith Bazar, Khambhat, Anand District",9876543210,Private,21.520533,70.454461
A.D. Gorwala Karamsad Blood Bank,Gujarat,ANAND,Karamsad,"A.D.Gorwala Blood Bank, Pramukhswami Medical College and Shree krishna Hospital, Gokulnagar, Karamsad, Anand",9687603001,Charity,22.539473,72.890433
Indian Red Cross Society Blood Bank Petlad,Gujarat,ANAND,Petlad,"Blood Bank, Indian Red Cross Society, Opposite to Ranchodji Temple, Petlad, Anand",9876543210,Private,22.564674,72.96086
Gandhi Lincon Hospital Blood Bank,Gujarat,Banaskantha,Banaskantha,"Bhansali Trust sanchalit Voluntary Blood Bank, Gandhi Lincon Hospital, Nr.Municipal Complex, Nr. Sardar-Baug, Deesa, Banaskantha",0982506784,Private,24.256318,72.184372
"M. U. Pethani Voluntary Blood Bank, Palanpur",Gujarat,Banaskantha,Banaskantha,"Bhagwan Mahavir Seva Samiti Sanchalit Mafatben Uttamlal Pethani Voluntary Blood Bank, Baradpura, Near Delhi Gate,                           Palanpur, Banaskantha",9426749265,Government,24.170367,72.435186
General Hospital Blood Bank Palanpur,Gujarat,Banaskantha,Banaskantha,"Blood Bank, General Hospital, Palanpur, Banaskantha",9824266375,Government,24.175017,72.434692
Gayatri Pathology Laboratory and Voluntary Blood Bank,Gujarat,Banaskantha,Banaskantha,"Gayatri Pathology Laboratory and Voluntary Blood Bank, Kirti Chamber, Kirti Stambh Road, Palanpur, Banaskantha",9824260906,Private,24.266228,72.183973
Bhoomi Voluntary Blood Bank Palanpur,Gujarat,Banaskantha,Banaskantha,"Bhoomi Voluntary Blood Bank, Paulamo House, Near Bridge, Palanpur, Banaskantha",9898102029,Charity,24.162436,72.414225
Vikas Voluntary Blood Bank,Gujarat,Banaskantha,Banaskantha,"Vikas Voluntary Blood Bank, Computerized Pathology Laboratory, Kirti Harsh Complex, Nr. Gayatri Mandir, Highway Road, Deesa, Banaskantha",9879641680,Private,24.264792,72.183378
Dharti Voluntary Blood Bank,Gujarat,Banaskantha,Banaskantha,"Dharti Voluntary Blood Bank, 1st Floor, Super Market S.T. Road, Dhanera, Banaskantha",9898616020,Government,24.499781,72.020131
Saraswati Voluntary Blood Bank,Gujarat,Banaskantha,Banaskantha,"Saraswati Voluntary Blood Bank. Saraswati Hospital, Opposite to Petrol pump, Dhanera, Banaskantha",9427394858,Government,24.499588,72.032557
Gayatri Voluntary Blood Bank,Gujarat,Banaskantha,Banaskantha,"Gayatri Voluntary Blood Bank, Kiran Complex,Highway Road, Deesa, Banaskantha",9824264464,Private,24.263756,72.162408
Adarsh Voluntary Blood Bank,Gujarat,Banaskantha,Tharad,"Adrash Blood Bank (Shree Sharswati Trust - Tharad), Adarsh Complex,  2nd Floor, Ambika Nagar Society-1, Highway Road, Tharad, Banaskantha",9879013952,Private,24.396283,71.638042
Indian Red Cross Society Blood Bank,Gujarat,BHARUCH,Bharuch,"Blood Bank, Indian Red Cross Society, Sevashram Hospital Compound, Bharuch",9427879628,Private,21.725118,21.725118
Kumarpal Gandhi Blood Bank,Gujarat,BHARUCH,Bharuch,"34B34 Block,1st Floor, Near Palika Shopping Centre, Near Gujarat Gas Circle, Ankleshvar",9925245745,Private,21.628147,72.995778
Sir T. General Hospital Blood Bank,Gujarat,BHAVNAGAR,Bhavnagar,"Blood Bank, Sir T. General Hospital, Dr. H. L. Vaidhya Marg, Kalanala, Bhavnagar",9876543210,Government,21.767673,72.141981
Bhavnagar Blood Bank,Gujarat,BHAVNAGAR,Bhavnagar,"Bhavnagar Blood Bank, Ofice No. 1,2,3 - Plot No. 1686, B-Wing, 1st Floor, Municipal Commercial Complex, Sardar Nagar Circle, Sardarnagar, Bhavnagar",9825207660,Government,21.76982,72.160378
Bambhaniya Voluntary Blood Bank,Gujarat,BHAVNAGAR,Bhavnagar,"Bambhaniya Voluntary Blood Bank Trade Centre, Kalanain Circle, Bhavnagar",0982423777,Private,21.774103,72.143714
Navkar Charitable Trust Mahuva Blood Bank,Gujarat,BHAVNAGAR,Bhavnagar,"Blood Bank Navkar Charitable Trust, Opposite to Nagrik Bank, Vasi Talav, Mahuva, Bhavnagar",9824393509,Private,21.088961,71.769089
Smt. Sonalien A. Shah Blood Bank,Gujarat,BHAVNAGAR,Bhavnagar,"Blood Bank, Omkar Paramedical Charitable Trust Organization, Smt. Sonaliben A. Shah Blood Bank, 2nd Floor, Patel Chamber,Paliad Road, Botad, Bhavnagar",9879864117,Charity,22.178967,71.651792
Tulsi Pathology Laboratory and Blood Bank,Gujarat,BHAVNAGAR,Bhavnagar,"Tulsi Pathology Laboratory and Blood Bank, Bhairav Para, Palitana, Bhavnagar",9426912607,Private,21.529208,71.824705
Indian Red Cross Society Blood Bank,Gujarat,Dahod,Dahod,"Sanchalit Dr. Mohsinbai S. Lenwala Voluntary Blood Bank, Dr.Harilal C.Seth, Red Cross Bhavan, Police Line road, Dahod",9428939298,Charity,22.838831,74.254139
Samarth Raktdan Kendra,Gujarat,Dahod,Dahod,"Samarth Raktdan Kendra, Gausala chowk, Daulatgunj Bazar, Dahod",9426540139,Charity,22.949278,73.630239
Kiran Voluntary Blood Bank,Gujarat,Dahod,Dahod,"Kiran Voluntary Blood Bank, Near Hotel Vrundavan,Station Road, Dahod",9825321212,Private,22.839956,74.254361
General Hospital Blood Bank Ahwa,Gujarat,DANG,Ahwa,"Blood Bank, General Hospital, Ahwa, Dang",9879036627,Government,20.761612,73.689241
"Indian Red Cross Society (IRCS), Kalol, Gandhinagar",Gujarat,GANDHINAGAR,Gandhinagar,"Blood Bank, Indian Red Cross Society, Sheth C.S. Municipal Hospital, Kalol, Gandhinagar",7777938109,Charity,22.608583,73.459578
"GMERS MEDICL COLLEGE ATTACHED GENERAL HOSPITAL, GANDHINAGAR",Gujarat,GANDHINAGAR,GANDHINAGAR,"Blood Bank, H-1 Block, First Floor, Civil Hospital Campus, Opposite to Pathik Ashram, Sector-12, Gandhinagar",9426323310,Government,23.218597,72.641585
Shraddhadeep Pathology Lab and Blood Bank,Gujarat,GANDHINAGAR,Gandhinagar,"Shraddhadeep Pathology Lab and Blood Bank, Shiv Complex , Plot no. 329, 1st Floor, Sector-16, Gandhinagar",9824833440,Private,23.226929,72.646557
Apollo Hospital International Limited Blood Bank,Gujarat,GANDHINAGAR,Gandhinagar,"Blood Bank, Apollo Hospital International Limited, Block No. 1/A, GIDC estate, BHAT, Gandhinagar",9879479350,Private,23.109635,72.625835
Indian Medical Association (IMA) Blood Bank,Gujarat,GANDHINAGAR,Mansa,"Blood Bank, Indian Medical Association (IMA), Manasa Charitable Trust sanchalit C.M.K. and P.N.N. Voluntary Blood Bank, 1st floor, Vijay Complex,  Mansa-Gandhinagar Highway, Manasa-382845, Gandhinagar",9824015700,Charity,23.420056,72.653181
G.G.Hospital Blood Bank,Gujarat,JAMNAGAR,Jamnagar,"Blood Bank, The  M.P.Shah  Medical College and Guru Govindsinh Hospital, Jamnagar",0982424105,Government,22.48531,70.058561
Jamnagar Voluntary Blood Bank,Gujarat,JAMNAGAR,Jamnagar,"Jamnagar Voluntary Blood Bank, 1st Floor, Shakuntla Apart.Hawai Chowk, Jamnagar",7574867418,Private,22.461884,70.072017
General Hospital Blood Bank,Gujarat,JAMNAGAR,Jamnagar,"Blood Bank, General Hospital, Jamkhambhalia, Jamnagar",7574867418,Government,22.208586,69.651914
Tata Chemical Limited Blood Bank Mithapur,Gujarat,JAMNAGAR,Jamnagar,"Blood Bank, Tata Chemical Limited, Okhamandal, Mithapur, Jamnagar",9824810951,Private,22.205519,69.102536
General Hospital Blood Bank Junagadh,Gujarat,JUNAGADH,Junagadh,"Blood Bank, General Hospital, Azad Chowk, Mahatma Gandhi Road, Junagadh",9825847023,Government,21.520666,70.459367
Divyajyoti Charitable Voulantary Blood Bank,Gujarat,JUNAGADH,Junagadh,"Divyajyoti Charitable Voulantary Blood Bank, Varsing Pur Road, B/H Jalaramvadi, Una, Junagadh",9876543210,Charity,20.827644,70.041767
Shri Jivanprakash Foundation Voluntary Blood Bank,Gujarat,JUNAGADH,Junagadh,"Shri Jivanprakash Foundation Voluntary Blood Bank, Vikram Commercial Complex, Sardar Baug Road, Junagadh",9825221122,Charity,21.520902,70.453799
"Navjeevan Blood Bank and Clinical Laboratory,  Veraval",Gujarat,JUNAGADH,Junagadh,"Navjeevan Blood Bank and Clinical Laboratory, Lilashah Shopping Centre, First Floor, Nr. Bus Station, Veraval, Junagadh",0942857535,Private,20.919489,70.352739
Navdeep Blood Bank,Gujarat,JUNAGADH,Junagadh,"Navdeep Blood Bank, Sankalp Complex, First Floor, S.T. Road,opp Dr. Chikkhalia Hospital, Junagadh",9825366141,Private,21.520745,70.454426
