name,address,count,phone,email,facility,hospitalType,hospitalCode,latitude,longitude,campSource,stockSource,distId,stateCode,type,dist
St.Philomena'S Hospital Blood Centre,"No.4, Nilsandra Road, No.4 campbell Road,,Viveknagar P O,    Bengaluru, Bangalore, Dist. Bangalore Urban",119,9845034510,labphilomen@gmail.com,,Private,15028,12.965428,77.610476,2,2,572,29,Blood Bank,
Suguna Laboratory Blood Storage Unit,"Dr Rajkumar Road, 4th N Block, RjajiNagar, Bengalore, Dist. Bangalore Urban",119,9731651007,laboratory@sugunahospital.com,,Private,283148,12.936859,77.51519,2,2,572,29,Blood Bank,
Suraksha Blood Centre,"87, 3rd Floor, Ramanna Plaza, S Kariyappa Road, Yediyur, Jayanagar 7th Block, Bengaluru, Yediyur Jayanagar, Dist. Bangalore Urban",119,"9916895060, 9448702185",surakshabloodcentre@gmail.com,,Charitable/Vol,284185,12.9306,77.5764,2,2,572,29,Blood Bank,
Sushruta Voluntary Blood Centre,"875, Dr MC Modi Eye Hospital, Next to State Bank, West of Chord Road, Baseaveshwar Nagar, Bangalore, Dist. Bangalore Urban",119,"08023230777, 8951853537,9900856512",svbb2016@gmail.com,,Private,15032,12.9716,77.59456,2,2,572,29,Blood Bank,
Sushrutha Medical Aid And Research Hospital Ltd.,"202, Rashtriya Vidyalaya road, Basavanagudi, Bangalore, Dist. Bangalore Urban",119,9972360269,office@bangalorehospital.co.in,,Private,283161,22.351115,78.667743,2,2,572,29,Blood Bank,
Swamy Vivekananda Voluntary Blood Bank,"Unit of Sri. Maruthi Charitable & Educational Tru,Bengaluru, bangalore , Dist. Bangalore Urban",119,9886763931,swamyvivekanandabloodbank@gmail.com,,Charitable/Vol,280382,12.9987,77.59197,2,2,572,29,Blood Bank,
The Oxford Medical College Hospital Blood Centre And Research Centre,"Yadavanahalli Attibele, Hosur Main Road, Bangalore, Dist. Bangalore Urban",119,9900004244,bloodbanktomch@gmail.com,,Private,15169,12.78681,77.75761,2,2,572,29,Blood Bank,
The Superintendent Esihospital Blood Centre,"Rajajinagar,   Bengaluru, Bengalore Urban, Dist. Bangalore Urban",119,"9945343990,8023013808",,,Private,280380,12.98985,77.55281,2,2,572,29,Blood Bank,
Transfusion Medicine Centre Nimhans,"TRANSFUSION MEDICINE CENTRE, NIMHANS, HOSUR ROAD, BANGALORE-560029, Bangalore, Dist. Bangalore Urban",119,9448509793,bloodbanktmc@gmail.com,,Govt.,15017,12.94068,77.59826,2,2,572,29,Blood Bank,
Unique Blood Centre And Diagnostic Centre,"16, 1st Floor, SLN Commercial Complex, Old Tharagupet, Mamulpet, City Market,, Bangalore, Dist. Bangalore Urban",119,"9448216553,26700685",uniquebb92@gmail.com,,Private,15034,12.965837,77.576262,2,2,572,29,Blood Bank,
Universal Welfare Blood Centre,"A unit of Shri Janakalyana Shikshana Aarogya Seva Samsthe, 39/2 3rd & 4th Floor, 'B' Block, Hesaraghatta Cross, T Dasarahalli, 8th Mile, Tumkur Road, Bangalore, Dist. Bangalore Urban",119,9036940182,universalwelfarebloodcentre@gmail.com,,Charitable/Vol,284796,12.99363,77.46401,2,2,572,29,Blood Bank,
Vanivilas (Bsu),"Bangalore, , Dist. Bangalore Urban",119,,,,Govt.,281163,12.94815,77.57905,0,2,572,29,BSU,
Veerayoga Institute Of Medical Sciences Speciality Hospitals,"No. 88, Marathhalli, Outer Ring Road, Bangalore, Dist. Bangalore Urban",119,"9845453875,8042698000",vims@gmail.com,,Private,15129,12.948331,77.699554,2,2,572,29,Blood Bank,
Victoria Hospital Blood Centre,"K R road,  VICTORIA HOSPITAL , Centanary building,, Bangalore, Dist. Bangalore Urban",119,9591497657,bngu.victoriahospital.bb@gmail.com,,Govt.,15009,12.96357,77.57381,2,2,572,29,Blood Bank,
Vijayanagar Hospital Blood Centre,"No. 27, 17th Cross, M.C. Layout, Vijayanagar, Bangalore, Dist. Bangalore Urban",119,"9901155344,8023358800",vijayanagarbloodbank@gmail.com,,Private,15115,12.969227,77.536519,2,2,572,29,Blood Bank,
Vydehi Institute Of Medical Science Hospital,"Vijayanagar, Nallurhalli, Whitefield,EPIP AREA, 06 WHITE FIELD, VIMS & RC,  Bangalore, Bangalore, Dist. Bangalore Urban",119,"9886749035,9538318128",Vydehibloodbank@vimsmail.com,,Charitable/Vol,15081,12.9755,77.72938,2,2,572,29,Blood Bank,
Vydehi Superspeciality Hospital Blood Centre,"Blood Centre- Vydehi Superspeciality Hospital,No.2, Vittal Mallya Road, Bengaluru , Dist. Bangalore Urban",119,9845019771,suresh.b@vshhospital.com,,Private,284479,12.9689,77.5946,2,2,572,29,Blood Bank,
Yalahanka (Bsu),"Bangalore, , Dist. Bangalore Urban",119,,,,Govt.,281160,13.09274,77.58788,0,2,572,29,BSU,
Yashomathi Medicare And Research Centre (P) Ltd.,"2371/3, HAL Airport, Varthur Main Road, Munne Kolala, Marath, Bangalore, Dist. Bangalore Urban",119,"9845664320,8043221019",care@yashomatihospitals.com,,Private,15154,12.955719,77.711256,2,2,572,29,Blood Bank,
Yelahanka Lions Blood Centre,"16th A Main Road Yekahanka Blood Bank , Banglore, Dist. Bangalore Urban",119,"9986500570,08028561125, 9152388169",lionsbloodbankylk@gmil.com,,Charitable/Vol,280459,13.09818,77.59054,2,2,572,29,Blood Bank,
